,investment_id,project_id,commissioning_year,status,asset_type,substation_1,substation_2,ac_dc,specified_length_km,description,underground,voltage (guess),url,x1,y1,x2,y2,p_nom_max
16,315,35,2028,in_permitting,line,Kocin (CZ),Prestice (CZ),AC,117.0,Adding second circuit to the existing single circuit OHL with a total transmission capacity of 2x1730 MVA and 117 km length,False,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35,14.3524,49.1584,13.3354,49.5895,
17,141,36,2020,under_construction,line,Ishøj / Bjæverskov (DK),Bentwisch (DE),AC,24.0,Four offshore windfarms connected to shore combined with 400 MW interconnection between both countries. New technical solution connecting 220 and 150 kV AC offshore grid and onshore HVDC VSC Back-to-Back Converter.,True,150.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/36,12.3206,55.6325,12.21358,54.11212,
18,142,37,2020,under_construction,line,Tonstad (NO),Wilster (DE),DC,623.0,A 623 km 500 kV HVDC interconnector between southern Norway and northern Germany. 514 km of the interconnector is subsea,True,500.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/37,6.72506,58.65811,9.3469,53.9233,
19,144,39,2020,under_construction,line,Audorf (DE),Kassø (DK),AC,110.0,Step 3 in the Danish-German agreement to upgrade the Jutland-DE transfer capacity. It consists of a new 400kV route in Denmark and In Germany new 400kV line mainly in the trace of a existing 220kV line.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/39,9.7268,54.2921,9.2695,55.0371,
21,689,47,2027,planned_not_yet_permitting,line,Vöhringen (DE),Westtirol (AT),AC,157.0,"Upgrade of an existing over head line to 380 kV, extension of existing and errection of new 380-kV-substations including 380/110-kV-transformers. Transmission route Vöhringen (DE) -Westtirol (AT). This project will increase the current power exchange capacity between the DE, AT.",False,380.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/47,10.08209,48.2662,10.8741,47.24462 ,
24,1500,48,2020,under_construction,line,Gabcikovo (SK),Gonyu (HU),AC,110.0,"New interconnection (new 2x400 kV tie-line) between SK and HU starting from Gabcikovo substation (SK) to the Gonyu substation (HU), with one circuit connected to Velky Dur (SK) substation. Project does not include the erection of new switching station Gabcikovo next to the existing one. It includes extension of the new Gabcikovo substation by the two 400 kV bays where the new double line will be connected.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48,17.5454,47.8861,17.8038,47.7378,
24,1500,48,2020,under_construction,line,Gabcikovo (SK),Velky Dur (SK),AC,110.0,"New interconnection (new 2x400 kV tie-line) between SK and HU starting from Gabcikovo substation (SK) to the Gonyu substation (HU), with one circuit connected to Velky Dur (SK) substation. Project does not include the erection of new switching station Gabcikovo next to the existing one. It includes extension of the new Gabcikovo substation by the two 400 kV bays where the new double line will be connected.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48,17.5454,47.8861,18.4254,48.206,
25,1501,48,2020,under_construction,line,Rimavska Sobota (SK),Sajoivanka (HU),AC,48.0,Connection of the two existing substations Rimavska Sobota (SK) - Sajoivanka (HU) by the new double 400 kV OHL armed only with one circuit on the both sides.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48,20.044,48.382,20.5909,48.2619,
26,386,62,2020,under_construction,line,Kilingi-Nomme (EE),Riga CHP2 (LV),AC,205.0,"330 kV AC OHL between Kilingi-Nomme substation in Estonia and Riga CHP2 substation in Latvia. New 330 kV power transmission line is planned to take route along already existing 110 kV power transmission lines, by constructing both 110 kV and 330 kV lines on the same towers. Under the framework of the project it is planned to reconstruct the open-air switchyard of the 330/110 kV substation Riga CHP2 by constructing new open-air connection point for the 330 kV line Kilingi Nomme - Riga CHP2.",False,330.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62,24.9876,58.158,24.2738,56.9183 ,
27,735,62,2021,under_construction,line,Harku (EE),Sindi (EE),AC,175.0,New double circuit OHL with 2 different voltages 330 kV and 110 kV and with capacity 1143 MVA/240 MVA and a length 175 km. Major part of new internal connection will be established on existing right of way on the western part of Estonian mainland.The investment helps together with 3rd EE-LV interconnector to increase interarea capacity up to 600 MW.,False,330.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62,24.5596,59.384,24.6706,58.4293,
28,1062,62,2020,under_construction,line,Riga CHP2 (LV),Riga HPP (LV),AC,15.0,The internal reinforcement for 3rd EE-LV interconnector and significant investment for Baltic Synchronization project,False,330,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62,24.2738,56.9183,24.2679,56.8511,
29,458,78,2024,in_permitting,line,Hinkley Point (GB),Seabank (GB),AC,60.0,New 400kV substation at Hinkley Point. New 400kV transmission route from Hinkley Point to Seabank. Reconstruction of Bridgewater substation for 400kV operation. Uprate Bridgewater - Melksham to 400kV.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/78,-3.1279,51.207,-2.6704,51.537,
30,462,81,2023,in_permitting,line,Woodland (IE),Turleenan (NI),AC,138.0,A new 138 km single circuit 400 kV 1500 MVA OHL from Turleenan 400/275 kV in Northern Ireland to Woodland 400/220 kV in Ireland. This is a new interconnector project between Ireland and Northern Ireland.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/81,-6.56982,53.47456,-6.6772,54.4674,
31,463,82,2030,planned_not_yet_permitting,substation,South Donegal (IE),,AC,-,new substation in south Co. Donegal,False,275,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,-8.0041,54.6773,,,
31,463,82,2030,planned_not_yet_permitting,line,Srananagh (IE),South Donegal (IE),AC,83.0,A new EHV overhead line from Srananagh in Co. Sligo to a new substation in south Co. Donegal,False,275,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,-8.3838,54.1782,-8.0041,54.6773,
32,896,82,2030,planned_not_yet_permitting,substation,Omagh South (NI),,AC,58.0,A new 275 kV cross border link between a new substation in South Donegal in Ireland and a new substation established south of Omagh in Northern Ireland,False,275.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,-7.2811,54.5781,,,
32,896,82,2030,planned_not_yet_permitting,line,South Donegal (IE),Omagh South (NI),AC,58.0,A new 275 kV cross border link between a new substation in South Donegal in Ireland and a new substation established south of Omagh in Northern Ireland,False,275.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,-8.0041,54.6773,-7.2811,54.5781,
33,897,82,2030,planned_not_yet_permitting,line,Omagh South,Turleenan,AC,61.0,"A new 275 kV overhead line from a new substation established south of Omagh to a new 400/275 kV substation, established at Turleenan by the North South Interconnection Development",False,275.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,-7.2811,54.5781,-6.6772,54.4674,
35,780,85,2023,planned_not_yet_permitting,substation,Ourique (PT),-,AC,0.0,"Extension of existing Ourique substation to include 400 kV facilities.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,-8.1897,37.6672,,,
34,779,85,2023,planned_not_yet_permitting,line,Ferreira do Alentejo (PT),Ourique (PT),AC,61,"New double-circuit 400+150 kV OHL F. Alentejo-Ourique-Tavira. The realization of this connection can take advantage of some already existing 150kV single lines, which can be reconstructed as double circuit line 400+150kV.",False,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,-8.1270,38.0556,-8.1897,37.6672,
34,779,85,2023,planned_not_yet_permitting,line,Ourique (PT),Tavira (PT),AC,61,"New double-circuit 400+150 kV OHL F. Alentejo-Ourique-Tavira. The realization of this connection can take advantage of some already existing 150kV single lines, which can be reconstructed as double circuit line 400+150kV.",False,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,-8.1897,37.6672,-7.7660,37.3449,
36,1670,85,2023,planned_not_yet_permitting,line,Alqueva (PT),Divor,AC,75.0,New 75 km single-circuit 400 kV OHL Alqueva-Divor.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,-7.4982,38.186,-7.9205,38.6333,
37,146,92,2020,under_construction,line,Oberzier (DE),Lixhe (BE),DC,90.0,"Connection between the Oberzier substation in Germany and the Lixhe substation in Belgium via a +-100 km HVDC underground cable, including 2 DC/AC convertor stations to integrate the DC cable with the AC substations at Lixhe & Oberzier.",True,380,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/92,6.4581,50.8716,5.6681,50.7544,
39,1488,103,2022,under_construction,line,Diemen,Ens,AC,75.0,"Upgrade of existing 380kV circuits between Diemen, Lelystad and Ens from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors",False,380.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,5.0146,52.3369,5.8092,52.6181,
40,1490,103,2024,in_permitting,line,Ens,Zwolle,AC,32.0,"Upgrade of existing 380kV circuits between Ens and Zwolle from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors",False,380.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,5.8092,52.6181,6.1901,52.5300,
41,1539,103,2023,in_permitting,line,Krimpen,Geertruidenberg,AC,35.0,"Upgrade of existing 380kV circuits between Krimpen and Geertruidenberg from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors",False,380.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,4.63051,51.91450,4.8332,51.7012,
42,1540,103,2025,in_permitting,line,Eindhoven,Maasbracht,AC,50.0,"Upgrade of existing 380kV circuits between Eindhoven and Maasbracht from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors",False,380.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,5.5316,51.4466,5.9181,51.1488,
43,810,107,2026,in_permitting,line,Knockraha (IE),La Martyre (FR),DC,500.0,A new HVDC subsea connection between Ireland and France,True,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/107,-8.3195,51.9541,-4.19358,48.44426,
44,424,110,2021,under_construction,line,Kvilldal (NO),Blyth (GB),DC,720.0,A 720 km long 515 kV 1400 MW HVDC subsea interconnector between western Norway and eastern England.,True,515.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/110,6.6546,59.5303,-1.531,55.1414,
45,396,111,2025,in_permitting,line,Keminmaa (FI),Messaure (SE),AC,200.0,Third AC 400 kV overhead line interconnector between Finland north and Sweden SE1.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/111,24.5262,65.8884,20.3308,66.6807,
46,1710,111,2024,in_permitting,line,Keminmaa (FI),Pyhänselkä (FI),AC,156.0,The investment is a 400 kV overhead line in North Finland. It is part of the 3rd AC cross border project between Finland and Sweden and will enable its full capacity to be utilized. The project will also allow integration of new RES generation at Bothnian bay.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/111,24.5262,65.8884,26.0729,64.8442,
49,373,123,2023,under_construction,line,Ostroleka (PL),Stanislawow (PL),AC,108.0,Construction of new 400 kV AC double-circuit OHL line with a length of 108 km and capacity of 2x2450 MVA between Ostroleka and Stanislawow.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/123,21.6237,53.1069,21.5567,52.2697,
50,733,124,2026,in_permitting,line,Ekhyddan (SE),Nybro/Hemsjo (SE),AC,160.0,Second phase includes the internal network reinforcements in Sweden to be able to fully utilize the interconnector between Lithuania and Sweden. The internal reinforcement consists of the new 400 kV single circuit overhead transmission line between Ekhyddan-Nybro-Hemsjo.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/124,16.6527,57.4159,14.711,56.3209,
52,86,127,2024,in_permitting,line,Foggia (IT),Villanova (IT),AC,178.0,"New 178km double circuit 400kV OHL between existing Foggia and Villanova 400kV substations, also connected in and out to the Larino and Gissi substations.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127,15.5396,41.501,14.1298,42.4035,
53,96,127,2021,under_construction,substation,Deliceto (IT),Bisaccia (IT),AC,-,"New 30km single circuit 400kV OHL between the future substations of Deliceto and Bisaccia, in the Candela area",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127,15.47243,41.21962,,,
53,96,127,2021,under_construction,substation,Bisaccia (IT),,AC,-,"New 30km single circuit 400kV OHL between the future substations of Deliceto and Bisaccia, in the Candela area",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127,15.3286,40.9749,,,
53,96,127,2021,under_construction,line,Deliceto (IT),Bisaccia (IT),AC,30.0,"New 30km single circuit 400kV OHL between the future substations of Deliceto and Bisaccia, in the Candela area",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127,15.47243,41.21962,15.3286,40.9749,
54,665,130,2025,in_permitting,line,Wolmirstedt (DE),Isar (DE),DC,540.0,"New DC-line to integrate new wind generation from control area 50Hertz especially Mecklenburg-Vorpommern, Brandenburg and Sachsen-Anhalt towards Central/south Europe for consumption and storage. Also see https://www.50hertz.com/en/Grid/Griddevelopement/Onshoreprojects/SuedOstLink/",True,525,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/130,11.639,52.2685,12.297,48.6071,
55,661,132,2025,in_permitting,line,Emden Ost (DE),Osterath (DE),DC,300.0,New HVDC line from Emden to Osterath to integrate new wind generation especially from North Sea towards Central Germany for consumption. Also see https://www.netzausbau.de/Vorhaben/ansicht/de.html,False,380,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/132,7.2444,53.3573,6.6257,51.2602,
58,715,138,2023,under_construction,substation,Stalpu (RO),,AC,-,"To reinforce the cross-section between the Black Sea coast wind generation in Romania and Bulgaria and the consumption and storage centers to the West, the 220 kV OHL Stalpu-Teleajen-Brazi is upgraded to 400 kV, as a continuation of the 400 kV d.c. OHL  Cernavoda-Stalpu. The 220/110 kV substation Stalpu is upgraded to 400/110kV (1x250MVA).",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,26.7166,45.0762,,,
56,273,138,2023,under_construction,line,Cernavoda (RO),Stalpu (RO),AC,159.0,"Reinforcement of the cross-section between the Western coast of the Black Sea (Eastern Romania) and the rest of the system. A new 400 kV AC OHL double circuit of 159 km shall be built between the 400 kV substation Cernavoda and the existing 220/110 kV Stalpu substation, which shall be replaced with a 400/110 kV substation (onshore). One of the two circuits shall be connected in-out to the 400 kV substation Gura Ialomitei, situated in the vicinity of the new line.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,28.0647,44.3237,26.7166,45.0762,
57,275,138,2024,in_permitting,line,Smardan (RO),Gutinas (RO),AC,140.0,Reinforcement of the cross-section between the Western coast of the Black Sea (Dobrogea area) and the rest of the system. New 400kV double circuit OHL (one circuit wired) between existing substations. Line length 140km.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,27.9534,45.4643,26.8213,46.2238,
59,800,138,2021,under_construction,line,Varna(BG),Burgas(BG),AC,86.0,New 86 km single circuit 400kV OHL in parallel to the existing one.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,27.5065,43.3148,27.3569,42.6171,
60,256,142,2023,in_permitting,line,Maritsa East 1 (BG),Nea Santa (GR),AC,151.0,New interconnection line BG-GR by a 151km single circuit 400kV OHL.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,25.911389,42.154444,22.9204109,40.8422660,
61,257,142,2022,in_permitting,line,Maritsa East 1 (BG),Plovdiv (BG),AC,94.0,New 94km single circuit 400kV OHL in parallel to the existing one.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,25.911389,42.154444,24.7701,42.113,
62,258,142,2021,under_construction,line,Maritsa East 1 (BG),Maritsa East 3 (BG),AC,13.0,New 13km single circuit 400kV OHL in parallel to the existing one.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,25.911389,42.154444,25.626389,42.054167,
63,262,142,2021,under_construction,line,Maritsa East 1 (BG),Burgas (BG),AC,150.0,New 400kV OHL. Line lengt 150km.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,25.911389,42.154444,27.3568,42.6172,
67,701,144,2025,under_construction,substation,Resita (RO),-,AC,0.0,"New 400 kV substation Resita (T400/220 kV 400 MVA + T 400/110 kV 250 MVA), as development of the existing 220/110 kV substation.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,21.88777,45.30413,,,
68,705,144,2025,in_permitting,substation,Timisoara (RO),-,AC,0.0,Replacement of 220 kV substation Timisoara with 400 kV substation (2x250 MVA 400/110 kV),False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,21.2815,45.7426,,,
64,238,144,2024,under_construction,line,Resita (RO),Pancevo (RS),AC,131.0,New 131 km double circuit 400kV OHL between Romania and Serbia (63 km on Romanian (thermal limit 2513 A) side and 68 km on Serbian (thermal limit 1920 A) side).,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,21.88777,45.30413,20.69898,44.86874,
65,269,144,2024,under_construction,line,Portile de Fier (RO),Resita (RO),AC,116.0,New 116 km 400kV OHL single circuit between existing substation 400 kV Portile de Fier and new 400 kV substation Resita.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,44.86874,20.69898,21.88777,45.30413,
66,270,144,2025,in_permitting,line,Resita (RO),Timisoara (RO),AC,74,"Upgrade of an existing 220 kV AC double circuit line (OHL) between Resita - Timisoara (RO) to 400 kV double circuit line Resita-Timisoara/Sacalaz of which: 74 km from Resita to Timisoara and 92 km from Resita to Sacalaz , both overhead lines will be built on common towers up to Icloda on 58 km. Upgrade of the existing 220 kV AC double circuit line (OHL) Timisoara/Sacalaz-Arad to 400 kV on 67 km of which: 14 km of line will be build single circuit between Sacalaz-C.Aradului- <connection point>, 11 km single circuit from Timisoara to <connection point> and the rest 42 km of the line will be double circuit from <connection point> to Arad.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,21.88777,45.30413,,,
66,270,144,2025,in_permitting,line,Timisoara (RO),Sacalaz (RO),AC,274.0,"Upgrade of an existing 220 kV AC double circuit line (OHL) between Resita - Timisoara (RO) to 400 kV double circuit line Resita-Timisoara/Sacalaz of which: 74 km from Resita to Timisoara and 92 km from Resita to Sacalaz , both overhead lines will be built on common towers up to Icloda on 58 km. Upgrade of the existing 220 kV AC double circuit line (OHL) Timisoara/Sacalaz-Arad to 400 kV on 67 km of which: 14 km of line will be build single circuit between Sacalaz-C.Aradului-<connection point>, 11 km single circuit from Timisoara to <connection point> and the rest 42 km of the line will be double circuit from <connection point> to Arad.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,21.88777,45.30413,,,
66,270,144,2025,in_permitting,line,Sacalaz (RO),Arad (RO),AC,274.0,"Upgrade of an existing 220 kV AC double circuit line (OHL) between Resita - Timisoara (RO) to 400 kV double circuit line Resita-Timisoara/Sacalaz of which: 74 km from Resita to Timisoara and 92 km from Resita to Sacalaz , both overhead lines will be built on common towers up to Icloda on 58 km. Upgrade of the existing 220 kV AC double circuit line (OHL) Timisoara/Sacalaz-Arad to 400 kV on 67 km of which: 14 km of line will be build single circuit between Sacalaz-C.Aradului-<connection point>, 11 km single circuit from Timisoara to <connection point> and the rest 42 km of the line will be double circuit from <connection point> to Arad.",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,21.88777,45.30413,,,
69,616,150,2028,in_permitting,line,Salgareda (IT),Bericevo (SI),DC,170,New HVDC link between Salgareda (IT) and Bericevo/Divaca (SI),True,500,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/150,12.48828,45.72046,14.61367,46.09291,
70,987,153,2025,in_permitting,line,Menuel (FR),Exeter (GB),DC,220.0,France-Alderney-Britain (FAB) is a new 220km-long HVDC subsea interconnection between Exeter (UK) and Menuel (France) with VSC converter station at both ends. Expected rated capacity is 2*700 MW. ,True,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/153,-1.57715,49.47680,-3.40476,50.76767,
71,998,167,2023,under_construction,line,Revsing (DKW),Bicker Fen (GB),DC,770.0,2 x700 MW HVDC subsea link across the North Seas. New substations on both sides; Bicker Fen (GB); Revsing (DK),True,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/167,9.16505,55.50457,-0.22122,52.93094,
72,382,170,2025,in_permitting,line,Vilnius (LT),Neris (LT),AC,80.0,New 330 kV OHL Vilnius-Neris,False,330.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170,25.15768,54.66562,25.42387,54.85654,
73,1004,170,2025,under_consideration,line,Sindi (EE),Paide (EE),AC,76.0,Reinforcement of existing 330 kV OHL between Paide and Sindi 330 kV substations in Estonia. Old line will be replaced with new towers and wires of 3x400 mm2 in phase. The thermal capacity of the line is planned 1143 MVA. The investment is also a backbone for Baltics Synchronization with CE (project nr 170).,False,330.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170,24.67019,58.42912,25.53025,58.87708,
74,1010,170,2025,in_permitting,line,Tartu (EE),Valmiera (LV),AC,133.0,Reinforcement of existing 330 kV OHL. The investment is also a backbone for Baltics Synchronization with CESA.,False,330.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170,26.69124,58.37938,25.46083,57.52692,
75,1011,170,2025,in_permitting,line,Tsirguliina (EE),Valmiera (LV),AC,60.0,Reinforcement of existing 330 kV OHL. The investment is also a backbone for Baltics Synchronization with CESA,False,330.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170,26.17740,57.84806,25.46083,57.52692,
76,1012,170,2023,in_permitting,line,Balti (EE),Tartu (EE),AC,168.0,Reinforcement of existing 330 kV OHL between Balti and Tartu 330 kV substations in Estonia. Old line will be replaced with new towers and wires of 3x400 mm2 in phase. The thermal capacity of the line is planned 1143 MVA. The investment is also a backbone for Baltics Synchronization with CESA (project nr 170).,False,330.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170,28.11926,59.35725,26.69124,58.37938,
